区县,常住人口（万人）,出生率(‰),GDP（亿元）,义务教育投入,年份,教育财政拨款情况（万元）,高中在校学生人均经费情况（元）,中等职业学校在校学生人均经费情况（元）,初中在校学生人均经费情况（元）,小学在校学生人均经费情况（元）,幼儿园在园幼儿人均经费情况（元）,大学生（万人）,高中生（万人）,初中生（万人）,小学生（万人）,在园幼儿（万人）
嘉定区,158.89,7.33,2596,,2018,335741.16,49585.38,39972.5,43884.12,29612.77,36821.52,,0.68,1.44,4.87,3.80 
浦东新区,555.02,7.67,11902.83,,2018,1095957.64,44540.38,40676.72,36860.3,25922.41,26390.41,,,,20.03,13.2
金山区,80.5,,1006.08,,2018,230883.39,52438.8,51170.37,44357.3,33188.52,33782.75,,0.62,1.62,2.47,1.72
松江区,176.22,8.04,1279.67,,2018,333015.16,54521.79,42969.9,38806.09,26587.5,27963.41,,,,6.20 ,4.92
青浦区,121.90 ,6.76,1107.69,,2018,262650.39,53488.04,55649.44,43749.16,40110.81,38532,,0.58,1.72,2.93,2.7
奉贤区,115.20 ,5.7,841.5,,2018,260523.16,50881.78,37713.04,41241.29,31996.63,33928.94,,0.63,1.81,3.39,2.59
崇明区,68.81,4.61,352.23,,2018,192047,75767.43,52750.53,64813.3,51183.67,40816.61,,0.44,1.12,1.55,0.91
黄浦区,65.48,,2104.44,194793.53,2017,377080.43,59117.67,53834.57,51770.4,37620.44,38104.14,,,,,
徐汇区,108.83,8.09,1573.94,154255.94,2017,269619.97,48554.9,35943.49,41839.3,26441.85,33612.01,,1.28,2.45,4.25,2.48
长宁区,69.37,,1317.52,90193.36,2017,190726.18,57727.08,79406.68,45964.72,28351.14,33632.9,,,,,
静安区,106.62,,1703.68,241787.16,2017,419675.45,71360.96,67286.98,58727.05,40854.62,37471.16,,,,,
普陀区,128.47,,,153158.32,2017,277679.48,47589.11,42161.92,45736.23,30461.49,28499.45,,,,,
虹口区,79.9,6.54,892.96,121248.42,2017,252884.42,67658.61,40084.28,58006.49,33110.71,32399.39,,,,2.25,1.4
杨浦区,131.34,7.16,1774.00 ,155098.17,2017,265009.9,52679.26,87773.15,47803.24,35888.98,30441.34,,1.09,1.94,3.55,2.66
闵行区,253.43,9.47,2150.41,319926.03,2017,526975.87,59133.74,35053.22,44038.9,28976.01,31490.76,,0.86,2.09,9.15,7.49
宝山区,203.08,7.63,1366.01,263998.34,2017,435561.89,41192.64,45196.28,32639.94,26978.75,26010.69,,0.69,1.81,6.56,5.81
嘉定区,158.18,8.29,2331.38,170329.7,2017,311929.51,47012.13,36359.18,37199.71,25463.46,34439.45,,0.64,1.33,4.70 ,3.78
浦东新区,552.84,8.9,10673.27,621408.92,2017,994376.97,39743.27,27883.12,33791.46,23720.09,24530.03,,,,19.92,12.94
金山区,80.14,,909.79,136497.5,2017,225813.43,48952.4,38812.65,38705.36,30212.77,30240.26,,0.59,1.63,2.43,1.72
松江区,175.13,9.78,1120.97,147532.85,2017,256686.23,48728.94,42539.95,38415.5,25747.64,26381.68,,,,6.00 ,4.96
青浦区,120.53,7.58,1018.00 ,162147.3,2017,261845.03,54887.94,68567.59,39313.51,34736.75,36823.89,,0.57,1.66,3.09,2.61
奉贤区,115.53,6.6,779.3,156826.96,2017,239157.32,45394.68,32224.27,38304.45,29109.32,31030.34,,0.62,1.90 ,3.41,2.69
崇明区,69.46,4.97,313.35,113114.98,2017,181085.69,67495.99,51667.73,60279.25,46975.86,36496.63,,0.43,1.16,1.58,0.96
黄浦区,65.62,,2019.16,211866.1,2016,408500,50923.06,49898.31,45258.91,32818.69,35623.26,,,,,
徐汇区,108.56,9.32,1522.17,152594.5,2016,263888.6,44867.73,33788.88,38097.02,25501.39,29115.49,,1.23,2.42,4.11,2.42
长宁区,68.87,,1195.53,109465,2016,215205.5,38323.98,79214.46,44036.52,27185.51,33092.33,,,,,
静安区,106.78,,1649.72,225022.7,2016,395359.5,62712.08,59261.16,49892.58,36679.93,32786.72,,,,,
普陀区,128.23,,,139466.7,2016,245563,45540.05,34849,41794.91,27041.06,25504.64,,,,,
虹口区,80.5,8.1,814.13,113050.5,2016,197753,65381.93,36239.62,57775.18,32804.92,32114.41,,,,2.26,1.4
杨浦区,130.94,8.5,1638.86,157278.2,2016,241850,46034.4,71617.69,46766.2,35147.39,26826.79,,1.08,1.91,3.36,2.58
闵行区,253.98,10.75,2009.38,243124.6,2016,406724.7,53179.53,33140.1,37956.39,27728.55,28545.73,,0.91,2.09,9.1,7.23
宝山区,203.05,8.62,1207.42,209673.8,2016,331985.9,37636.88,42602.32,29666.44,24138.89,24489.7,,0.69,1.84,6.52,5.72
嘉定区,157.96,8.94,2081.96,153944.1,2016,287993.2,46999.69,33213.38,35153.15,24240.24,32519.76,,0.61,1.34,4.69,3.57
浦东新区,550.1,10.23,9547.54,655820.1,2016,1022010.9,34899.34,27197.6,30120.61,22136.97,23734.76,,,,19.98,12.44
金山区,80.51,,801.56,109555.5,2016,183658.3,45700.37,35174.54,35921.45,27643.8,29227.79,,,,,
松江区,176.48,10.83,1040.45,151387.6,2016,270169,47451.67,35627.77,33183.82,22898,25242.19,,,,6.06,4.78
青浦区,121.49,8.66,940.01,124050,2016,205813.7,43136.66,46450.95,33681.62,30738.77,31361.33,,0.57,1.67,3.57,2.53
奉贤区,116.74,7.4,729.3,143078.8,2016,214711.5,42102.77,28808.14,36366.51,27035.03,28818.61,,0.60 ,2.07,3.79,2.68
崇明区,69.89,5.35,295.29,118952.5,2016,187441.8,55308.8,41990.52,53513.03,41663.93,32269.26,,0.49,1.14,1.64,0.99
